policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
nearest,5,12,26,55.44000000000001,37.0,8.0,0.0,29.0,1.0,0.0,479.9999999999989,20.0,29.0
nearest,6,13,26,-0.015999999999980474,51.0,3.0,1.0,47.0,0.75,0.25,561.5999999999984,25.23076923076923,47.0
nearest,7,14,26,-11.455999999999985,50.0,3.0,1.0,46.0,0.75,0.25,609.5999999999984,26.03846153846154,46.0
nearest,8,15,26,-5.527999999999983,39.0,2.0,1.0,36.0,0.6666666666666666,0.3333333333333333,628.7999999999984,19.807692307692307,36.0
nearest,9,16,26,-6.743999999999989,45.0,4.0,2.0,39.0,0.6666666666666666,0.3333333333333333,506.39999999999895,22.307692307692307,39.0
nearest,10,17,26,-12.04799999999998,40.0,2.0,1.0,37.0,0.6666666666666666,0.3333333333333333,544.7999999999986,17.307692307692307,37.0
nearest,11,18,26,-6.575999999999979,46.0,3.0,2.0,41.0,0.6,0.4,573.5999999999983,21.53846153846154,41.0
nearest,12,19,26,-0.11999999999998812,44.0,3.0,1.0,40.0,0.75,0.25,563.9999999999989,25.03846153846154,40.0
nearest,13,20,26,-23.303999999999995,55.0,3.0,3.0,49.0,0.5,0.5,614.3999999999984,27.884615384615383,49.0
nearest,14,21,26,-19.463999999999988,46.0,3.0,3.0,40.0,0.5,0.5,614.3999999999985,23.846153846153847,41.0
nearest,15,22,26,13.144000000000009,55.0,4.0,0.0,51.0,1.0,0.0,537.5999999999988,22.615384615384617,51.0
nearest,16,23,26,3.7120000000000135,44.0,3.0,0.0,41.0,1.0,0.0,592.7999999999986,21.115384615384617,41.0
nearest,17,24,26,59.58400000000001,38.0,8.0,0.0,30.0,1.0,0.0,477.599999999999,16.153846153846153,30.0
nearest,18,25,26,-11.367999999999984,47.0,3.0,1.0,43.0,0.75,0.25,568.7999999999985,26.23076923076923,43.0
nearest,19,26,26,-27.71199999999999,58.0,1.0,2.0,55.0,0.3333333333333333,0.6666666666666666,679.1999999999985,31.76923076923077,55.0
edf,0,7,26,-18.791999999999994,47.0,3.0,2.0,42.0,0.6,0.4,619.1999999999987,23.26923076923077,42.0
edf,1,8,26,15.960000000000013,37.0,4.0,0.0,33.0,1.0,0.0,527.9999999999986,19.23076923076923,33.0
edf,2,9,26,-20.06399999999999,60.0,4.0,2.0,54.0,0.6666666666666666,0.3333333333333333,566.3999999999986,35.0,55.0
edf,3,10,26,-23.831999999999987,37.0,2.0,2.0,33.0,0.5,0.5,619.1999999999986,18.153846153846153,33.0
edf,4,11,26,-37.24799999999998,40.0,1.0,2.0,37.0,0.3333333333333333,0.6666666666666666,640.7999999999984,21.423076923076923,37.0
edf,5,12,26,44.61600000000001,37.0,7.0,0.0,30.0,1.0,0.0,494.3999999999989,20.692307692307693,30.0
edf,6,13,26,-21.239999999999984,51.0,2.0,1.0,48.0,0.6666666666666666,0.3333333333333333,599.9999999999984,26.076923076923077,48.0
edf,7,14,26,-21.687999999999988,50.0,3.0,2.0,45.0,0.6,0.4,604.7999999999986,26.26923076923077,45.0
edf,8,15,26,5.544000000000015,39.0,4.0,1.0,34.0,0.8,0.2,585.5999999999983,19.115384615384617,34.0
