policy,episode,seed,steps,total_reward,generated_tasks,hits,misses,pending_tasks,success_rate,miss_rate,total_energy_used,mean_pending_tasks,max_pending_tasks
nearest,1,8,26,14.824000000000025,22.0,3.0,0.0,19.0,1.0,0.0,585.5999999999983,9.615384615384615,19.0
nearest,2,9,26,-11.903999999999979,31.0,2.0,1.0,28.0,0.6666666666666666,0.3333333333333333,626.3999999999985,16.115384615384617,28.0
nearest,3,10,26,12.032000000000016,26.0,3.0,1.0,22.0,0.75,0.25,604.7999999999986,12.23076923076923,22.0
nearest,4,11,26,22.144000000000016,22.0,4.0,0.0,18.0,1.0,0.0,585.5999999999984,12.192307692307692,18.0
nearest,5,12,26,34.65600000000001,20.0,5.0,0.0,15.0,1.0,0.0,542.3999999999987,10.038461538461538,15.0
nearest,6,13,26,41.744000000000014,30.0,6.0,0.0,24.0,1.0,0.0,453.5999999999989,14.115384615384615,24.0
nearest,7,14,26,25.552000000000007,24.0,4.0,0.0,20.0,1.0,0.0,532.7999999999984,9.538461538461538,20.0
nearest,8,15,26,1.968000000000021,20.0,2.0,0.0,18.0,1.0,0.0,631.1999999999983,11.884615384615385,18.0
nearest,9,16,26,20.53600000000001,29.0,4.0,0.0,25.0,1.0,0.0,506.39999999999895,14.76923076923077,25.0
nearest,10,17,26,13.840000000000012,25.0,3.0,1.0,21.0,0.75,0.25,539.9999999999986,11.153846153846153,21.0
nearest,11,18,26,-6.82399999999998,25.0,1.0,0.0,24.0,1.0,0.0,602.3999999999984,11.26923076923077,24.0
nearest,12,19,26,33.83200000000002,27.0,6.0,2.0,19.0,0.75,0.25,460.79999999999876,11.846153846153847,19.0
nearest,13,20,26,33.04000000000001,28.0,5.0,0.0,23.0,1.0,0.0,527.9999999999986,12.0,23.0
nearest,14,21,26,31.055999999999997,31.0,5.0,1.0,25.0,0.8333333333333334,0.16666666666666666,494.3999999999989,14.423076923076923,25.0
nearest,15,22,26,11.544000000000015,30.0,3.0,1.0,26.0,0.75,0.25,513.5999999999988,13.807692307692308,27.0
nearest,16,23,26,-4.919999999999984,21.0,1.0,0.0,20.0,1.0,0.0,611.9999999999985,9.23076923076923,20.0
nearest,17,24,26,4.584000000000013,20.0,2.0,0.0,18.0,1.0,0.0,609.5999999999983,9.615384615384615,18.0
nearest,18,25,26,-13.375999999999987,31.0,3.0,2.0,26.0,0.6,0.4,633.5999999999984,17.307692307692307,27.0
nearest,19,26,26,44.71200000000001,41.0,7.0,2.0,32.0,0.7777777777777778,0.2222222222222222,496.7999999999988,20.692307692307693,32.0
edf,0,7,26,22.480000000000008,24.0,4.0,0.0,20.0,1.0,0.0,563.9999999999987,12.153846153846153,20.0
edf,1,8,26,14.568000000000017,22.0,3.0,0.0,19.0,1.0,0.0,571.1999999999985,10.0,19.0
edf,2,9,26,-11.903999999999979,31.0,2.0,1.0,28.0,0.6666666666666666,0.3333333333333333,626.3999999999986,16.115384615384617,28.0
edf,3,10,26,2.032000000000016,26.0,3.0,1.0,22.0,0.75,0.25,604.7999999999988,12.23076923076923,22.0
edf,4,11,26,11.424000000000015,22.0,3.0,0.0,19.0,1.0,0.0,597.5999999999985,12.807692307692308,19.0
edf,5,12,26,34.640000000000015,20.0,5.0,0.0,15.0,1.0,0.0,527.9999999999987,10.192307692307692,15.0
edf,6,13,26,31.16800000000002,30.0,5.0,0.0,25.0,1.0,0.0,511.1999999999987,14.153846153846153,25.0
edf,7,14,26,3.7840000000000202,24.0,2.0,0.0,22.0,1.0,0.0,573.5999999999983,10.923076923076923,22.0
edf,8,15,26,23.912000000000035,20.0,4.0,0.0,16.0,1.0,0.0,556.7999999999986,10.653846153846153,16.0
